File: aggregator
Build ID: daa602da4b0a67620d3e04c9cbe7283fdb52acb2
Type: cpu
Time: 2026-08-10 00:07:28 IST
Duration: 30s, Total samples = 310ms ( 1.03%)
Showing nodes accounting for 310ms, 100% of 310ms total
      flat  flat%   sum%        cum   cum%
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*GroupTransactSession).End.func3
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*ProcessFetchPartitionOpts).processRecordBatch
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*broker).connect
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*broker).loadConnection
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).handleResp
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).handleResps
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).readResponse
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).writeConn
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*compressor).Compress
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*cursorOffsetNext).processRespPartition
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*groupConsumer).commitTxn.func2
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*sink).drain
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*source).fetch
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*source).handleReqResp
         0     0% 64.52%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*source).loopFetch
      10ms  3.23% 67.74%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.(*wrappedLogger).Level
         0     0% 67.74%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.NewClient.func2
         0     0% 67.74%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.ProcessFetchPartition
         0     0% 67.74%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.ensureLen[go.shape.[]github.com/twmb/franz-go/pkg/kmsg.Record,go.shape.struct { Length int32; Attributes int8; TimestampDelta int32; TimestampDelta64 int64; OffsetDelta int32; Key []uint8; Value []uint8; Headers []github.com/twmb/franz-go/pkg/kmsg.Header }] (inline)
         0     0% 67.74%       10ms  3.23%  github.com/twmb/franz-go/pkg/kgo.promisedRec.appendTo
      10ms  3.23% 70.97%       10ms  3.23%  market-aggregator/internal/aggmetrics.(*OHLC).Update
      10ms  3.23% 74.19%       10ms  3.23%  market-aggregator/internal/aggmetrics.(*Volatility).Update
         0     0% 74.19%       10ms  3.23%  math.Log (inline)
      10ms  3.23% 77.42%       10ms  3.23%  math.archLog
         0     0% 77.42%       10ms  3.23%  net/http.(*ServeMux).ServeHTTP
         0     0% 77.42%       10ms  3.23%  net/http.(*conn).serve
         0     0% 77.42%       10ms  3.23%  net/http.HandlerFunc.ServeHTTP
         0     0% 77.42%       10ms  3.23%  net/http.serverHandler.ServeHTTP
         0     0% 77.42%       10ms  3.23%  runtime.(*_panic).start
      10ms  3.23% 80.65%       10ms  3.23%  runtime.(*moduledata).textAddr
         0     0% 80.65%       10ms  3.23%  runtime.(*unwinder).next
         0     0% 80.65%       10ms  3.23%  runtime.(*unwinder).resolveInternal
      10ms  3.23% 83.87%       10ms  3.23%  runtime.(*waitq).dequeue (inline)
      10ms  3.23% 87.10%       10ms  3.23%  runtime.arenaIndex (inline)
      10ms  3.23% 90.32%       10ms  3.23%  runtime.asyncPreempt
         0     0% 90.32%       10ms  3.23%  runtime.closechan
         0     0% 90.32%       10ms  3.23%  runtime.copystack
         0     0% 90.32%       10ms  3.23%  runtime.findObject
         0     0% 90.32%       10ms  3.23%  runtime.funcInfo.entry (inline)
         0     0% 90.32%       10ms  3.23%  runtime.funcspdelta (inline)
         0     0% 90.32%       10ms  3.23%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0% 90.32%       10ms  3.23%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 90.32%       10ms  3.23%  runtime.lock (inline)
         0     0% 90.32%       10ms  3.23%  runtime.lock2
         0     0% 90.32%       10ms  3.23%  runtime.lockWithRank (inline)
         0     0% 90.32%       10ms  3.23%  runtime.makeslice
         0     0% 90.32%       10ms  3.23%  runtime.mallocgcSmallNoscan
         0     0% 90.32%       10ms  3.23%  runtime.mallocgcTiny
      10ms  3.23% 93.55%       10ms  3.23%  runtime.memmove
         0     0% 93.55%       10ms  3.23%  runtime.newstack
      10ms  3.23% 96.77%       10ms  3.23%  runtime.osyield
         0     0% 96.77%       10ms  3.23%  runtime.pcvalue
         0     0% 96.77%       10ms  3.23%  runtime.sellock
         0     0% 96.77%       10ms  3.23%  runtime.spanOf (inline)
      10ms  3.23%   100%       10ms  3.23%  runtime.typePointers.next
         0     0%   100%       10ms  3.23%  runtime.wbBufFlush
         0     0%   100%       10ms  3.23%  runtime.wbBufFlush.func1
         0     0%   100%       10ms  3.23%  runtime.wbBufFlush1
